unix,open,high,low,close,Volume 
1501200000,2666.33,2825,2655.82,2777.01,38653272.36
1501113600,2524.99,2695,2509.63,2666.33,30468221.16
1501027200,2564.82,2608.96,2400,2524.99,44074589.03
1500940800,2759.98,2775.79,2450,2564.82,55118584.1
1500854400,2749.02,2800,2701,2759.98,27562683.88
1500768000,2832.71,2855,2640,2749.02,30306854.43
1500681600,2670,2882,2644.59,2832.71,35783389.64
1500595200,2875.03,2887.45,2611.39,2670,56427932.93
1500508800,2265.21,2938,2265.21,2875.03,80333454.15
1500422400,2303.71,2402.5,2223,2265.21,39243957.64
1500336000,2226,2392,2164,2303.71,57642999.9
1500249600,1917.63,2229.97,1910.57,2226,55012387.35
1500163200,1970.51,2044.44,1830,1917.63,49004259.73
1500076800,2213.37,2219.99,1967.65,1970.51,40917690.02
1499990400,2339.99,2357.84,2140,2213.37,28223890.84
1499904000,2388,2425.16,2312.93,2339.99,19953094.82
1499817600,2305.98,2408.84,2239.54,2388,30250318.76
1499731200,2323.45,2399,2242.62,2305.98,41135309.34
1499644800,2502.28,2527.88,2261.85,2323.45,41625857.69
1499558400,2550.07,2564.65,2500.5,2502.28,11357689.63
1499472000,2501.46,2555,2462,2550.07,13570951.58
1499385600,2600.39,2605,2475,2501.46,23866443.45
1499299200,2602.9,2614,2522,2600.39,21512892.56
1499212800,2596.12,2623,2530.1,2602.9,27944609.56
1499126400,2550.47,2639.47,2540.07,2596.12,25084134.62
1499040000,2504.37,2595,2472.68,2550.47,29211425.51
1498953600,2412.41,2528.72,2374.34,2504.37,21373737.73
1498867200,2465.49,2517.11,2390,2412.41,21694860.67
1498780800,2541.59,2564.58,2451,2465.49,21937499.3
1498694400,2559.9,2594.78,2500.31,2541.59,20745883.75
1498608000,2565,2593,2468.01,2559.9,31054748.58
1498521600,2421.22,2565,2291,2565,45725060.61
1498435200,2502.03,2550.03,2315.01,2421.22,54077563.86
1498348800,2557.66,2635.72,2432,2502.03,26249953.89
1498262400,2685.05,2724.96,2512.13,2557.66,34941154.41
1498176000,2713.48,2745,2657.46,2685.05,22339917.54
1498089600,2657.04,2740,2594.61,2713.48,28950475.51
1498003200,2740,2789,2611,2657.04,42292796.44
1497916800,2598,2783,2581,2740,42537518.87
1497830400,2516.98,2598,2480.96,2598,26993977.69
1497744000,2630,2665,2460.62,2516.98,24021728.81
1497657600,2484.68,2674.4,2420.53,2630,28555923.68
1497571200,2424.91,2540,2307.66,2484.68,33826420.1
1497484800,2450,2516.2,2120,2424.91,84920570.37
1497398400,2703.02,2801,2320,2450,76083640.16
1497312000,2667.06,2783.62,2638.62,2703.02,43568709.95
1497225600,2954.22,2980,2480.03,2667.06,85786969.44
1497139200,2899.99,2967.46,2861.53,2954.22,19889398.37
1497052800,2822.32,2912.98,2800,2899.99,27422781.42
1496966400,2806,2868.23,2780.43,2822.32,22701149.15
1496880000,2683.03,2815,2613.13,2806,36422409.92
1496793600,2880.74,2893.28,2612.5,2683.03,47189507.3
1496707200,2698,2933,2689.4,2880.74,75184117.96
1496620800,2530.27,2699.35,2525.28,2698,31915607.88
1496534400,2540.94,2569,2460,2530.27,22259945.52
1496448000,2488.94,2584.34,2445,2540.94,27285983.07
1496361600,2413.63,2489,2370.03,2488.94,30173071.82
1496275200,2298.01,2456.39,2296.81,2413.63,43968591.95
1496188800,2203.51,2334,2154.28,2298.01,36853820.79
1496102400,2292.1,2339.08,2160,2203.51,31432708.32
1496016000,2178.81,2350,2110,2292.1,27345796.01
1495929600,2042,2313.96,2041.48,2178.81,33633799.51
1495843200,2279.82,2339.94,1850,2042,54093115.87
1495756800,2292.53,2599.12,2060,2279.82,66000848.39
1495670400,2420.29,2760.1,2221,2292.53,82965665.93
1495584000,2264.23,2481.75,2264.23,2420.29,52778575.76
1495497600,2099.97,2275,2088.45,2264.23,31139771.52
1495411200,2017.55,2230.34,2008.75,2099.97,32452142.3
1495324800,2013.99,2063.11,1961.52,2017.55,13647083.74
1495238400,1958,2021,1914,2013.99,24244964
1495152000,1878.99,1969.99,1874.99,1958,27201808.7
1495065600,1782.99,1881.8,1766.33,1878.99,21764514.72
1494979200,1700.01,1840.42,1670.01,1782.99,31587033.39
1494892800,1705.48,1750,1641.22,1700.01,28117414.51
1494806400,1784,1784,1682.56,1705.48,22943567.22
1494720000,1776.89,1815,1753,1784,8585557.39
1494633600,1691.51,1785.82,1601.46,1776.89,17796170.28
1494547200,1828.45,1832,1650,1691.51,29854369.28
1494460800,1772.58,1892,1745.01,1828.45,26996647.4
1494374400,1720.28,1794.21,1682,1772.58,19694962.35
1494288000,1649.54,1760.4,1616.05,1720.28,28716399.21
1494201600,1554.01,1653.97,1554.01,1649.54,30605645.62
1494115200,1558.02,1565,1525,1554.01,11809645.33
1494028800,1514.9,1578.97,1505,1558.02,12174477.83
1493942400,1537.23,1609,1495,1514.9,24254113.78
1493856000,1503.22,1623.01,1444.94,1537.23,29012554.52
1493769600,1447.75,1516.04,1431.02,1503.22,16342395.53
1493683200,1390.86,1481.73,1388,1447.75,12835457.62
1493596800,1350.21,1425,1341.22,1390.86,11920971.92
1493510400,1333,1356,1315.68,1350.21,4718587.81
1493424000,1330.7,1342.8,1316,1333,5226089.45
1493337600,1331.53,1347.02,1299,1330.7,10882526.4
1493251200,1287.99,1342.02,1285,1331.53,8807415.32
1493164800,1269,1330,1265,1287.99,11237494.55
1493078400,1253.58,1280,1251.07,1269,6651231.27
1492992000,1241.99,1254,1234,1253.58,3787704.79
1492905600,1233.2,1248.99,1223.42,1241.99,3219987.14
1492819200,1243.61,1247.15,1199,1233.2,5065733.74
1492732800,1234.19,1252.32,1231.65,1243.61,6189234.63
1492646400,1203.98,1243.88,1201.66,1234.19,7299836.83
1492560000,1202.58,1209.99,1190,1203.98,7247878.76
1492473600,1176.54,1210,1175.95,1202.58,6636764.68
1492387200,1162.31,1192.5,1161,1176.54,4210491.81
1492300800,1173.45,1179.3,1150,1162.31,3094769.46
1492214400,1170.34,1192.5,1165,1173.45,2128067.82
1492128000,1172.91,1193,1142,1170.34,10475598.06
1492041600,1212.17,1219.45,1141,1172.91,8410777.07
1491955200,1218.99,1224.57,1208,1212.17,4224875.8
1491868800,1209.25,1229,1198.02,1218.99,4229830.76
1491782400,1206.2,1219.71,1195,1209.25,4416613.87
1491696000,1184.03,1216.87,1173.98,1206.2,5764917.28
1491609600,1190.66,1197.3,1166.66,1184.03,3224244.36
1491523200,1190.85,1202,1176,1190.66,6486716.5
1491436800,1134.58,1201.37,1134.36,1190.85,10690571.43
1491350400,1143,1145,1111,1134.58,6291139.39
1491264000,1144.77,1162.93,1118.85,1143,8468987.32
1491177600,1078.01,1152,1076.19,1144.77,12487637.63
1491091200,1083.94,1100,1066.49,1078.01,8269728.69
1491004800,1070.31,1097,1061.64,1083.94,5617187.43
1490918400,1033.7,1081,1031.43,1070.31,12711331.62
1490832000,1035.96,1050.17,1017.14,1033.7,8918956.47
1490745600,1043.99,1059.43,1008.16,1035.96,9675900.4
1490659200,1039.92,1068.26,1014.9,1043.99,9531808.18
1490572800,960,1043,952.95,1039.92,8753826.09
1490486400,956.02,997,937.52,960,8735685.94
1490400000,929.06,963.36,891.33,956.02,12469415.59
1490313600,1029.65,1032,920,929.06,15691519.3
1490227200,1037.56,1054.4,1010.69,1029.65,6134595.75
1490140800,1114.39,1114.39,988,1037.56,15060114.15
1490054400,1035.96,1117.9,1034.92,1114.39,12068049.72
1489968000,1017.97,1053,1010.01,1035.96,7753027.09
1489881600,969.4,1063.7,969.4,1017.97,12327661.82
1489795200,1071.02,1099,944.36,969.4,21545200.42
1489708800,1172.62,1173.23,1063,1071.02,18710285.4
1489622400,1257.32,1258.96,1130,1172.62,18263170.71
1489536000,1245.86,1260,1238.32,1257.32,4908117.86
1489449600,1242.46,1260,1226.5,1245.86,7156458.55
1489363200,1226.62,1249.02,1215.43,1242.46,6955370.87
1489276800,1176.55,1241.85,1170.9,1226.62,7003314.41
1489190400,1116.97,1198,1106.51,1176.55,8528948.13
1489104000,1190.89,1350,975,1116.97,38529724.81
1489017600,1150.05,1208,1135.01,1190.89,9018801.31
1488931200,1233.05,1245.49,1145.5,1150.05,15896181.2
1488844800,1278.49,1281.62,1175.97,1233.05,17887749.61
1488758400,1273,1285,1251,1278.49,5420539.75
1488672000,1260,1275,1240,1273,3809526.44
1488585600,1285.33,1289.55,1230,1260,6237313.77
1488499200,1257.6,1298,1255,1285.33,9615648.42
1488412800,1226.39,1283.25,1215,1257.6,9678454.84
1488326400,1191.21,1231,1188.3,1226.39,7276042.54
1488240000,1194.64,1209.99,1176.27,1191.21,9013416.33
1488153600,1179.05,1197.99,1169,1194.64,5508029.79
1488067200,1152.2,1184.97,1133,1179.05,4127618.08
1487980800,1180.14,1184.73,1127,1152.2,7226356.76
1487894400,1188.11,1220,1091.1,1180.14,23022719.16
1487808000,1130.01,1193.92,1120.73,1188.11,13556658.98
1487721600,1124.62,1143,1098.16,1130.01,13145511
1487635200,1084,1126.86,1077,1124.62,9273043.86
1487548800,1051.8,1089.99,1044.39,1084,3902264.53
1487462400,1056.4,1061.9,1039.07,1051.8,2388775.41
1487376000,1055.46,1068.99,1046.14,1056.4,4741677.69
1487289600,1032.7,1064.99,1031.98,1055.46,6386285.16
1487203200,1011.53,1043.21,1010.75,1032.7,6170238.86
1487116800,1008.88,1013.8,1000.97,1011.53,3123812.22
1487030400,1000.74,1019,987.97,1011.51,6580183.46
1486944000,1000.73,1007.89,975.1,1000.25,4515153.39
1486857600,1011.01,1011.97,991.98,1001.63,2668338.13
1486771200,995.49,1020,987.62,1011.98,4462704.29
1486684800,985.71,1010.68,950,997.57,10395040.24
1486598400,1051.73,1074.69,913.73,981.96,24875574.97
1486512000,1052.48,1070,1025,1056.99,10005034.74
1486425600,1024,1056.25,1021.3,1054.12,5509558.04
1486339200,1010.03,1031.94,1005.1,1023.7,5176624.63
1486252800,1033.72,1034.6,1004.7,1014.57,4387548.42
1486166400,1015.06,1044.23,1004,1034.44,5857358.53
1486080000,1009.15,1022.64,987.01,1012.64,10899361.44
1485993600,983.79,1011.65,973.12,1008.18,8158190.25
1485907200,963.99,986.96,962,983.36,6669709.8
1485820800,919.99,970,917.5,965.01,8839243.99
1485734400,913.12,923,910,921.08,2750934.15
1485648000,918.6,919.99,910.45,913.1,1210874.32
1485561600,918.02,920.99,913.08,917.75,1050315.48
1485475200,914.95,924.88,908.01,917.84,4422003.07
1485388800,893.25,919.49,892.86,916.34,4635817.25
1485302400,885.47,904.01,884.5,892.95,4724511.12
1485216000,913.15,923,886.27,893,7978981.16
1485129600,923.75,927.57,913.21,921.39,3073522.47
1485043200,921.98,937.74,886.76,919.39,6476841.64
1484956800,895.81,928,895,921.1,5329454.56
1484870400,902.23,902.43,880,895.62,5904057.73
1484784000,887.69,910,878.89,900.46,9904314.22
1484697600,905.95,915.99,851.74,876.74,9689310.45
1484611200,831.76,908.5,827,906.08,10693223.8
1484524800,821.86,835,818.09,829.62,5082219
1484438400,819.52,823.45,808,822.47,3432426.03
1484352000,825.98,837.76,810,819.66,5442676.2
1484265600,807.51,831.4,775,826.9,9133431.3
1484179200,778.7,832.99,751.34,816,13545426.73
1484092800,905.05,918.4,755,788.81,29111252.67
1484006400,896.09,912.47,889.41,907.96,7157833.4
1483920000,909.8,912.87,875,899.99,7733150.91
1483833600,906.2,941.81,881.3,906.17,8088448.27
1483747200,894.02,906,812.28,897.14,17026388.21
1483660800,1004.73,1026.99,871,891.56,25238781.34
1483574400,1114.38,1136.72,885.41,994.02,35036904.22
1483488000,1035.51,1139.89,1028.56,1122.56,23257162.08
1483401600,1011.44,1039,999.99,1036.99,8955192.92
1483315200,997.75,1032,990.01,1014.1,8190254.59
1483228800,966.34,1005,960.53,998.8,6579903.85
1483142400,959.54,966.37,944.11,964.32,3850228.19
1483056000,969.99,970,931,959.03,10164057.18
1482969600,976.46,980.74,950,968.99,7528704.36
1482883200,930.34,975.97,929.49,975.97,11488843.01
1482796800,897.82,936.42,891,929.92,6613609.53
1482710400,890.65,905.18,888,899.1,3111630.61
1482624000,892.61,894.97,859,891.67,3478222.78
1482537600,914.48,918.5,878.89,892.63,5390303.22
1482451200,858.94,920,858.93,916,14525838.63
1482364800,832.02,875,827.29,858.94,10296745.43
1482278400,798.65,830.01,796.82,828.1,7502025.03
1482192000,791.03,803,787.1,801.02,3156234.61
1482105600,788.34,794.39,787.01,790.65,3069394.12
1482019200,788.3,790.99,780,788.68,1981286.28
1481932800,781.32,790.88,780.36,788.4,1876973.65
1481846400,776.3,782.46,771.24,780.35,2561600.07
1481760000,777.03,779.08,771,774.79,2290042.69
1481673600,775.35,781,770.74,776.29,1793918.87
1481587200,777,793.27,765.1,778.71,3767383.2
1481500800,768.97,779,768.96,777.93,2163450.23
1481414400,772.28,772.28,764.01,768.19,1058389.27
1481328000,769.57,774.12,768.11,772.35,1698016.64
1481241600,766.84,773.99,766.29,769.49,2200017.6
1481155200,764.05,772.01,762.29,767.96,3438246.11
1481068800,758.97,769.61,751.78,766.85,3616332.71
1480982400,749.51,759.9,747.99,758.91,5062327.13
1480896000,762,762.09,743,750,4155543.78
1480809600,762.97,762.97,752.41,761.99,2385412.41
1480723200,770.91,770.99,752.41,762.79,2107293.54
1480636800,751.55,778.07,750.77,769.99,6181050.26
1480550400,742.06,754.98,740.18,751.6,4569793.09
1480464000,730.72,744.49,727,742.06,4577304.37
1480377600,730.99,733.29,721,730.99,3788691.62
1480291200,727.32,732.44,724.1,730.98,3454018.44
1480204800,729.91,732,722.44,726.12,2499926.68
1480118400,736.96,737.56,722.3,729.87,1654649.42
1480032000,735.63,737.03,728,737.03,2438631.37
1479945600,740.18,741.15,729,735.7,2937407.2
1479859200,749.13,749.98,729.92,740.17,3264940.91
1479772800,736.92,750,730.27,746.61,3685436.12
1479686400,727.09,739.2,727.03,736.97,2942854.28
1479600000,750.09,753.82,714,727.09,4041204.67
1479513600,748.98,755.07,742.63,749.57,1466174.56
1479427200,736,752.95,731.31,745.99,3166648.02
1479340800,739.71,749.98,732.22,737,4943483.12
1479254400,711.07,742.87,708.44,737.99,8263859.53
1479168000,704.98,716.54,703.05,710.82,4005033.08
1479081600,700.38,705.89,697.14,704.7,5098505.82
1478995200,701.17,702.89,683.23,701.51,4171893.49
1478908800,716.39,716.39,701,703,1940916.08
1478822400,714.48,720.94,712.24,715.82,2344789.75
